open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
1705651200000,41284.26000000,41385.59000000,41143.33000000,41289.99000000,1124.49065000,1705654799999,46376968.25263770,44089,592.45586000,24435100.00405210,0
1705654800000,41290.00000000,41464.34000000,41248.10000000,41398.37000000,1417.81427000,1705658399999,58624482.47073010,48027,704.00410000,29109090.47202670,0
1705658400000,41398.37000000,41489.73000000,41334.00000000,41486.06000000,928.98376000,1705661999999,38475914.51609080,41624,488.05240000,20213848.70580560,0
1705662000000,41486.05000000,41509.69000000,41368.90000000,41475.37000000,961.48242000,1705665599999,39861532.78716130,40115,480.43723000,19916714.22782050,0
1705665600000,41475.37000000,41488.20000000,41260.21000000,41337.31000000,1249.91312000,1705669199999,51689466.24832340,43014,533.10741000,22043731.65850460,0
1705669200000,41337.30000000,41429.86000000,41268.33000000,41393.08000000,1053.49049000,1705672799999,43553784.18671460,42460,503.74966000,20825965.98209620,0
1705672800000,41393.08000000,41455.00000000,40841.10000000,40969.31000000,3475.38975000,1705676399999,142761969.80806870,105319,1563.76802000,64232842.49313380,0
1705676400000,40969.31000000,41156.38000000,40718.00000000,40894.71000000,3482.09452000,1705679999999,142521337.07703520,115518,1786.32870000,73121450.51754400,0
1705680000000,40894.71000000,40953.59000000,40310.00000000,40395.01000000,4971.06182000,1705683599999,201773191.15222190,147409,2278.75868000,92497275.72909280,0
1705683600000,40395.00000000,41250.00000000,40280.00000000,41239.57000000,4450.92747000,1705687199999,181715667.33963750,168862,2306.20455000,94145835.15566460,0
1705687200000,41239.57000000,41979.00000000,41006.61000000,41808.08000000,4197.78344000,1705690799999,174172689.65921900,143446,2211.89688000,91775071.78769190,0
1705690800000,41808.08000000,41929.65000000,41575.40000000,41814.27000000,2480.82816000,1705694399999,103544109.03590770,82416,1371.04558000,57224651.58685550,0
1705694400000,41814.27000000,42196.86000000,41517.60000000,41620.00000000,4230.96342000,1705697999999,177250915.37957340,115677,2104.01490000,88177142.30121590,0
1705698000000,41619.99000000,41791.70000000,41552.35000000,41633.83000000,1610.94515000,1705701599999,67107768.18449160,66612,780.34259000,32507147.53882390,0
1705701600000,41633.83000000,41735.61000000,41532.89000000,41687.10000000,890.03453000,1705705199999,37043180.49580280,39573,488.12735000,20317079.26162730,0
1705705200000,41687.10000000,41721.10000000,41613.67000000,41659.03000000,816.71730000,1705708799999,34022478.89585490,42880,420.02523000,17497216.66368870,0
1705708800000,41659.03000000,41679.52000000,41456.30000000,41482.29000000,1037.43812000,1705712399999,43117266.76079550,48464,490.32471000,20378235.11261180,0
1705712400000,41482.28000000,41700.00000000,41482.28000000,41655.42000000,792.03395000,1705715999999,32948828.98768670,41275,439.25470000,18272654.87951450,0
1705716000000,41655.42000000,41662.74000000,41538.00000000,41621.23000000,594.98282000,1705719599999,24749238.04079480,35586,290.61726000,12087917.78299050,0
1705719600000,41621.23000000,41649.61000000,41524.00000000,41634.65000000,561.75741000,1705723199999,23356603.03145490,30282,309.14610000,12853209.99420280,0
1705723200000,41634.64000000,41659.03000000,41578.63000000,41607.20000000,436.82811000,1705726799999,18183660.78864510,24932,181.54736000,7556783.85220600,0
1705726800000,41607.19000000,41646.46000000,41564.81000000,41627.63000000,453.58365000,1705730399999,18872961.19183660,24798,236.84625000,9854622.23393710,0
1705730400000,41627.62000000,41698.71000000,41615.92000000,41672.02000000,582.85375000,1705733999999,24281957.14503340,30413,277.69406000,11568703.85650640,0
1705734000000,41672.02000000,41774.00000000,41644.72000000,41650.95000000,638.34351000,1705737599999,26618365.61347610,29376,307.55304000,12824945.89890370,0
1705737600000,41650.95000000,41668.66000000,41522.38000000,41590.00000000,1054.68234000,1705741199999,43863506.76016290,48470,449.48242000,18691728.02430020,0
1705741200000,41590.01000000,41643.06000000,41459.02000000,41521.10000000,735.91109000,1705744799999,30568874.41008870,36875,315.02879000,13084688.72593610,0
1705744800000,41521.10000000,41616.43000000,41495.81000000,41543.31000000,640.82500000,1705748399999,26631547.62747310,32852,316.00802000,13132760.43680470,0
1705748400000,41543.30000000,41619.00000000,41475.69000000,41580.83000000,674.93419000,1705751999999,28037095.34950020,28970,277.11791000,11513927.61474550,0
1705752000000,41580.82000000,41700.00000000,41540.00000000,41620.01000000,645.31586000,1705755599999,26851770.09746240,33146,326.05456000,13566723.07209720,0
1705755600000,41620.00000000,41685.77000000,41584.68000000,41633.12000000,653.88181000,1705759199999,27224467.52663150,31695,293.65521000,12226007.06206660,0
1705759200000,41633.11000000,41646.00000000,41491.16000000,41542.99000000,795.56394000,1705762799999,33065722.62558510,34235,375.03167000,15584735.12637350,0
1705762800000,41542.98000000,41688.53000000,41478.00000000,41570.11000000,813.88059000,1705766399999,33837765.64107060,52202,391.15430000,16262643.24890380,0
1705766400000,41570.10000000,41645.81000000,41537.84000000,41563.66000000,625.85698000,1705769999999,26032266.68292190,33396,306.66759000,12754915.73920790,0
1705770000000,41563.66000000,41625.00000000,41543.61000000,41591.11000000,495.01011000,1705773599999,20586094.47341010,27633,268.76635000,11176945.29750990,0
1705773600000,41591.10000000,41634.19000000,41526.36000000,41606.17000000,565.61990000,1705777199999,23519030.50190140,30978,268.81430000,11178112.40924810,0
1705777200000,41606.16000000,41684.94000000,41605.01000000,41632.96000000,456.72684000,1705780799999,19016368.75779120,25192,198.35864000,8258446.59774560,0
1705780800000,41632.97000000,41822.99000000,41617.58000000,41751.36000000,829.62416000,1705784399999,34632646.86637290,41387,426.55922000,17807260.67911130,0
1705784400000,41751.37000000,41872.56000000,41729.90000000,41733.85000000,726.76463000,1705787999999,30384982.69186860,34146,316.02005000,13213636.24831690,0
1705788000000,41733.85000000,41819.99000000,41669.90000000,41781.53000000,478.92579000,1705791599999,19997842.96220480,23541,228.01038000,9520122.35344570,0
1705791600000,41781.54000000,41809.87000000,41610.54000000,41696.04000000,632.65038000,1705795199999,26389143.61676580,27480,267.65343000,11165415.74887780,0
1705795200000,41696.05000000,41727.00000000,41629.87000000,41645.98000000,405.51248000,1705798799999,16900148.19100560,24694,179.03838000,7461992.03285590,0
1705798800000,41645.98000000,41722.14000000,41633.80000000,41666.82000000,411.49944000,1705802399999,17147908.76442780,27999,211.27975000,8804344.76471400,0
1705802400000,41666.83000000,41719.36000000,41652.29000000,41699.80000000,406.21108000,1705805999999,16934187.95074400,28565,179.87148000,7498394.19380360,0
1705806000000,41699.80000000,41730.00000000,41661.74000000,41680.82000000,377.67063000,1705809599999,15749756.82802770,25126,172.02253000,7173650.31883210,0
1705809600000,41680.83000000,41685.55000000,41651.74000000,41673.41000000,258.81267000,1705813199999,10784099.32892110,18042,123.21832000,5134128.25522160,0
1705813200000,41673.41000000,41691.11000000,41628.46000000,41628.47000000,305.06196000,1705816799999,12708264.78610170,20063,105.42089000,4391876.19214040,0
1705816800000,41628.46000000,41654.99000000,41564.29000000,41597.66000000,349.76971000,1705820399999,14555761.59549420,22500,155.27992000,6461660.89923020,0
1705820400000,41597.66000000,41669.94000000,41587.27000000,41648.51000000,284.99252000,1705823999999,11861883.71192460,19741,155.14230000,6457225.63415770,0
1705824000000,41648.50000000,41710.00000000,41648.50000000,41663.96000000,423.86113000,1705827599999,17671150.03460350,23125,210.03513000,8756575.12266790,0
1705827600000,41663.96000000,41747.53000000,41663.96000000,41747.53000000,430.35767000,1705831199999,17949218.71314500,25623,236.90897000,9880797.39471710,0
1705831200000,41747.52000000,41826.97000000,41709.99000000,41785.99000000,717.32999000,1705834799999,29965948.50776750,34773,361.17133000,15086728.15872960,0
1705834800000,41786.00000000,41795.61000000,41686.00000000,41719.89000000,401.37890000,1705838399999,16760023.31858480,25127,175.49606000,7328293.97013910,0
1705838400000,41719.90000000,41821.10000000,41700.91000000,41735.99000000,509.28923000,1705841999999,21265302.82718970,30798,287.51395000,12003911.26164830,0
1705842000000,41735.99000000,41862.02000000,41735.98000000,41859.53000000,691.91268000,1705845599999,28926964.67872720,33524,367.58855000,15367038.18912660,0
1705845600000,41859.52000000,41881.39000000,41757.25000000,41787.50000000,630.51659000,1705849199999,26371583.14244560,35478,312.92007000,13087175.97103890,0
1705849200000,41787.49000000,41860.00000000,41605.00000000,41656.28000000,978.43312000,1705852799999,40818621.55560310,44847,454.09617000,18944903.02311080,0
1705852800000,41656.27000000,41673.06000000,41525.00000000,41607.18000000,791.19285000,1705856399999,32921680.35216730,34426,354.68635000,14758003.24570560,0
1705856400000,41607.18000000,41695.07000000,41599.39000000,41678.00000000,481.67127000,1705859999999,20065960.24372280,24725,273.86098000,11407868.59961500,0
1705860000000,41677.99000000,41729.77000000,41627.00000000,41681.09000000,467.73485000,1705863599999,19499796.15110900,24610,224.31273000,9351182.89575840,0
1705863600000,41681.09000000,41720.00000000,41635.25000000,41719.40000000,360.44499000,1705867199999,15022566.14339110,23292,165.74794000,6907919.05794210,0
1705867200000,41719.39000000,41772.75000000,41618.68000000,41643.91000000,686.10169000,1705870799999,28608489.84053330,36665,260.48114000,10861073.84857210,0
1705870800000,41643.90000000,41811.10000000,41620.27000000,41785.91000000,419.96350000,1705874399999,17516097.29302160,23411,228.65391000,9537540.47186930,0
1705874400000,41785.90000000,41785.91000000,41620.23000000,41633.39000000,340.64799000,1705877999999,14207351.55291730,22254,126.20506000,5262993.33893670,0
1705878000000,41633.39000000,41676.78000000,41500.98000000,41580.33000000,599.79607000,1705881599999,24938805.51932880,28409,255.60854000,10626930.32019990,0
1705881600000,41580.32000000,41683.53000000,41467.58000000,41657.43000000,958.26920000,1705885199999,39845822.05811330,45171,476.28892000,19805473.97260810,0
1705885200000,41657.43000000,41689.65000000,41263.60000000,41363.37000000,1980.37830000,1705888799999,81998839.03267150,67183,950.38986000,39351999.31898720,0
1705888800000,41363.38000000,41426.03000000,41258.10000000,41317.98000000,824.53378000,1705892399999,34085821.38920400,37898,382.39069000,15807495.42916790,0
1705892400000,41317.97000000,41343.99000000,41058.22000000,41197.04000000,1431.49598000,1705895999999,58962414.98902420,57902,662.47453000,27287926.96147450,0
